Year,Total_Papers,Relevant_Papers,Relevance_Rate,Average_Relevance_Score,Total_Citations,Average_Citations_Per_Paper
1997,1,1,1.0,0.8,515,515.0
1998,2,0,0.0,0.4,484,242.0
2004,2,1,0.5,0.44999999999999996,359,179.5
2005,1,0,0.0,0.4,259,259.0
2008,1,0,0.0,0.4,4,4.0
2009,3,1,0.3333333333333333,0.55,770,256.6666666666667
2010,7,5,0.7142857142857143,0.5999999999999999,2340,334.2857142857143
2011,2,1,0.5,0.55,2870,1435.0
2012,5,2,0.4,0.48,1033,206.6
2013,5,3,0.6,0.4800000000000001,1382,276.4
2014,5,2,0.4,0.4,2650,530.0
2015,11,4,0.36363636363636365,0.4272727272727273,1609,146.27272727272728
2016,9,6,0.6666666666666666,0.65,4086,454.0
2017,8,5,0.625,0.575,3884,485.5
2018,9,6,0.6666666666666666,0.6611111111111111,3489,387.6666666666667
2019,28,23,0.8214285714285714,0.7464285714285712,7728,276.0
2020,50,38,0.76,0.7319999999999998,11696,233.92
2021,70,60,0.8571428571428571,0.7692857142857141,13729,196.12857142857143
2022,112,98,0.875,0.7745535714285711,20081,179.29464285714286
2023,155,145,0.9354838709677419,0.7829032258064512,29035,187.32258064516128
2024,255,243,0.9529411764705882,0.8190196078431378,10389,40.741176470588236
2025,243,239,0.9835390946502057,0.857201646090536,1306,5.374485596707819
2079,1,1,1.0,0.8,2,2.0
Unknown,6,6,1.0,0.8999999999999999,0,0.0
